<<<<<<< HEAD
좋아요!  처음엔 저만 쓰다가 제가 계속 좋다 좋다 말해서 지금은 가족들 모두 사용하고 있스 니다! 정말 좋아요!좋아요!  처음엔 저만 쓰다가 제가 계속 좋다 좋다 말해서 지금은 가족들 모두 사용하고 있스 니다! 정말 좋아요!,긍정
7살아이 피부가 예민한 편인데 잘발리고 트러블도 없어요 금방 스며들고 끈적임도 적어요 같은 제품으로 구입한 폼으로 씻으니 촉촉하고 좋아요 다른 제품 사용때는 알레르기가 좀 있었어요7살아이 피부가 예민한 편인데 잘발리고 트러블도 없어요 금방 스며들고 끈적임도 적어요 같은 제품으로 구입한 폼으로 씻으니 촉촉하고 좋아요 다른 제품 사용때는 알레르기가 좀 있었어요,긍정
만족합니다 발림도 좋고 트러블도 없어서 괜찮네요 물에도 잘 지워지네요 물놀이갈땐 사용못해요 근데 짜기가 힘들어요 꽉찬게 아닌거 같아요만족합니다 발림도 좋고 트러블도 없어서 괜찮네요 물에도 잘 지워지네요 물놀이갈땐 사용못해요 근데 짜기가 힘들어요 꽉찬게 아닌거 같아요,부정
좋아ㅡ 아이들발라주려기ㅡ샀여ㅗ조금하얘지는현상이있긴하지만샴하진않아ㅜㅎ유네요이번여름계속반ㄴ랐답니다좋아ㅡ 아이들발라주려기ㅡ샀여ㅗ조금하얘지는현상이있긴하지만샴하진않아ㅜㅎ유네요이번여름계속반ㄴ랐답니다,긍정
좀 비추네요 너무 뻑뻑해서 잘 발라지지 읺고 씻기지도 안네요 손에 묻으면 세정제로 두번이상은 씻어야 겨우 씻겨요 애기쓰기에 좀 불안해요 씻기기 힘들듯요좀 비추네요 너무 뻑뻑해서 잘 발라지지 읺고 씻기지도 안네요 손에 묻으면 세정제로 두번이상은 씻어야 겨우 씻겨요 애기쓰기에 좀 불안해요 씻기기 힘들듯요,부정
별루요 진짜 스며들도록 안바르면 하얗게 남아요아기 피부가 좀 까만편인데 너무 허옇게 티가 나서 좀 그래요별루요 진짜 스며들도록 안바르면 하얗게 남아요아기 피부가 좀 까만편인데 너무 허옇게 티가 나서 좀 그래요,부정
추천해요 아이썬크림 찾아보다가 평이좋아서 구입했어요백탁현상이 좀있긴하지만 시간이지나면 없어지네요추천해요 아이썬크림 찾아보다가 평이좋아서 구입했어요백탁현상이 좀있긴하지만 시간이지나면 없어지네요,긍정
외출전필수 지난주 아기랑 수목원가는날이라급히주문했어요발림성좋고 피부에도 잘스며들고 좋아요올여름잘쓸것같아요외출전필수 지난주 아기랑 수목원가는날이라급히주문했어요발림성좋고 피부에도 잘스며들고 좋아요올여름잘쓸것같아요,긍정
적극 추천합니다 돌기념으로 간  제주도여행에서 너무도 잘썼구요 성분관련 검색 여러번해봤지만가격도 착하고 성분도 착하고아토보스만한게 없더라구요물세안도 가능하고 굿적극 추천합니다 돌기념으로 간  제주도여행에서 너무도 잘썼구요 성분관련 검색 여러번해봤지만가격도 착하고 성분도 착하고아토보스만한게 없더라구요물세안도 가능하고 굿,긍정
좋아요!  사계절 내내 사용하는 썬크림!! 항상 사용하는 제품입니다!! 이번에도 잘 받았습니다!! 좋아요!  사계절 내내 사용하는 썬크림!! 항상 사용하는 제품입니다!! 이번에도 잘 받았습니다!! ,긍정
아기선크림 6개웡 아기 선크림으로 좋아요 햇빛이 강해서 아기도 선크림 발라줘야 할 것 같아서 구매했습니다  다 쓰면 또 구매 예정입니다아기선크림 6개웡 아기 선크림으로 좋아요 햇빛이 강해서 아기도 선크림 발라줘야 할 것 같아서 구매했습니다  다 쓰면 또 구매 예정입니다,긍정
아토보스 썬크림 로션을 아토보스 쓰고있어서 구매했는데 갠찮은것같아요 돌지난 아기라 외출할때 바르려고 구매했어요부드럽게 발리고 흡수도 잘되네요아토보스 썬크림 로션을 아토보스 쓰고있어서 구매했는데 갠찮은것같아요 돌지난 아기라 외출할때 바르려고 구매했어요부드럽게 발리고 흡수도 잘되네요,긍정
좋아요 끈적이지않고순하고좋네요유분비도적당하고민감한딸피부에딱임니다세한할때도씻기편하네요좋아요 끈적이지않고순하고좋네요유분비도적당하고민감한딸피부에딱임니다세한할때도씻기편하네요,긍정
좋아요좋아요  두개째 구매다른 제품보다 좀 비싸지만아이꺼라 왠지 조심스러워서발림 좋ㄱㅗ 괜찮아요좋아요좋아요좋아요좋아요  두개째 구매다른 제품보다 좀 비싸지만아이꺼라 왠지 조심스러워서발림 좋ㄱㅗ 괜찮아요좋아요좋아요,긍정
좋아요 아기 첫 썬크림으로 구매했습니다평들이 좋아서 이걸로 사봤는데 괜찮은것같아요잘 펴발라주면 백탁현상도 많이 없고 좋아요좋아요 아기 첫 썬크림으로 구매했습니다평들이 좋아서 이걸로 사봤는데 괜찮은것같아요잘 펴발라주면 백탁현상도 많이 없고 좋아요,긍정
만족 아직 써보지않아서 잘 모르겠지만 구매평이 좋아서 구입했습니다 사용해보고 좋음 또 구매할게요만족 아직 써보지않아서 잘 모르겠지만 구매평이 좋아서 구입했습니다 사용해보고 좋음 또 구매할게요,긍정
잘 발리네요 아기 얼굴에 부드럽게 잘 발리네요선크림 바르고나면 나중에 어떻게 씻겨야하나 걱정했는데생각보다 물에 잘 지더라구요물놀이시 자주 발라줘야한다는 단점이 있지만애기잘 발리네요 아기 얼굴에 부드럽게 잘 발리네요선크림 바르고나면 나중에 어떻게 씻겨야하나 걱정했는데생각보다 물에 잘 지더라구요물놀이시 자주 발라줘야한다는 단점이 있지만애기한테 순한것 같아 맘이 놓여요,부정
추천 아직 많이 써보진 않았어요친구가 추천해줘서 샀어요산뜻한 갓 같긴해요여름에 또 씅께요추천 아직 많이 써보진 않았어요친구가 추천해줘서 샀어요산뜻한 갓 같긴해요여름에 또 씅께요,긍정
순한선크림 아기들이 사용하는 순한선크림이라 믿고 사고 있어요벌써 세개째 구매합니다수딩젤도 발림성이 좋은거 같아요순한선크림 아기들이 사용하는 순한선크림이라 믿고 사고 있어요벌써 세개째 구매합니다수딩젤도 발림성이 좋은거 같아요,긍정
자외선차단지수가 낮아도 천연성분이라니 믿고 써요 백탁현상은 있어도 로션처럼 잘 발라지네요아직 피부트러블은 없는 듯 한데괜찮겠죠?자주 자주 발라주어야 하니 좀 귀찮은 감은 있자외선차단지수가 낮아도 천연성분이라니 믿고 써요 백탁현상은 있어도 로션처럼 잘 발라지네요아직 피부트러블은 없는 듯 한데괜찮겠죠?자주 자주 발라주어야 하니 좀 귀찮은 감은 있지만 ㅎㅎ,긍정
잘받았습니다 아직 미사용이지만 좋은제품이라 믿고 써볼까합니다잘받았습니다 아직 미사용이지만 좋은제품이라 믿고 써볼까합니다,긍정
Jooly goodJooly good,긍정
아토보스좋아요아토보스좋아요,긍정
좋아요 아토보스 크림을 사용 중에 아이들을 위해 선크림을 구매하였습니다 발림상도 좋고 사용 후 아이들 피부에 트러블없어 좋네요좋아요 아토보스 크림을 사용 중에 아이들을 위해 선크림을 구매하였습니다 발림상도 좋고 사용 후 아이들 피부에 트러블없어 좋네요,긍정
성분보고 구매했어요 아이 선크림 고민하던 차에 전성분보고 구매했어요  백탁이 있긴하지만 그래도 화학적 차단보단 낫죠 워터프루프기능이 아쉽지만 그래도 만족합니다!성분보고 구매했어요 아이 선크림 고민하던 차에 전성분보고 구매했어요  백탁이 있긴하지만 그래도 화학적 차단보단 낫죠 워터프루프기능이 아쉽지만 그래도 만족합니다!,부정
배송느림 배송은 겁나 느린데 상품은 아직 안써봤고요급하신분들은 여기서사면 안될것같아요 상품은 괜찬을거라 믿어봅니다포장은 잘해서왔어요배송느림 배송은 겁나 느린데 상품은 아직 안써봤고요급하신분들은 여기서사면 안될것같아요 상품은 괜찬을거라 믿어봅니다포장은 잘해서왔어요,부정
총알배송 로켓  배송보다 빨랐네요아는 엄마 소개로 구매했는데 좋은거 같아요질문에 즉각 답도해주시구요총알배송 로켓  배송보다 빨랐네요아는 엄마 소개로 구매했는데 좋은거 같아요질문에 즉각 답도해주시구요,긍정
우리아이들 썬크림은 항상요거씁니당 ㅋㅋ좋아용 배송두 빨랐구요우리아이들 썬크림은 항상요거씁니당 ㅋㅋ좋아용 배송두 빨랐구요,긍정
만족합니다 무엇보다 안심할수있는 성분이라 걱정없이 쓸수있어서 좋아요발림성도 괜찮고 향도 좋아서 불편함없이 바를수있어요백탁현상이있지만 시간지나면 자연스러워져요좋은제품만나서 아주 만족만족합니다 무엇보다 안심할수있는 성분이라 걱정없이 쓸수있어서 좋아요발림성도 괜찮고 향도 좋아서 불편함없이 바를수있어요백탁현상이있지만 시간지나면 자연스러워져요좋은제품만나서 아주 만족합니다,긍정
괜찮아요 저자극은 맞는것 같아요끈적함이나 기름기는 적고발림성은 좋습니다약간의 백탁현상은 있구요향기도 좋습니다자외선차단지수가 좀 아쉬워요잘쓸께요괜찮아요 저자극은 맞는것 같아요끈적함이나 기름기는 적고발림성은 좋습니다약간의 백탁현상은 있구요향기도 좋습니다자외선차단지수가 좀 아쉬워요잘쓸께요,부정
예민하신분들 추천 처음에 향이나 질감은 맘에 들었지만 백탁이 심한듯해서 걱정했는데 시간이 지날수록 자연스러워 지네요  지성이신분들은 오일리 해서 별로일지 모르겠구 저처럼 예민하고예민하신분들 추천 처음에 향이나 질감은 맘에 들었지만 백탁이 심한듯해서 걱정했는데 시간이 지날수록 자연스러워 지네요  지성이신분들은 오일리 해서 별로일지 모르겠구 저처럼 예민하고 건조하신분들 추천해요,부정
만족합니다 썬크림이 필요해서 주문했는데 천연이라 이것도 전체적으로 만족합니다 감사합니다 잘쓸게요오 만족합니다 썬크림이 필요해서 주문했는데 천연이라 이것도 전체적으로 만족합니다 감사합니다 잘쓸게요오 ,긍정
8갤 아기 선크림 추천 8개월 아기 여름이라 살이 걱정되어서 구매했는데얼굴색에 잘맞고 바를때 싫지 않은지 웃어주어서 너무 좋네요8갤 아기 선크림 추천 8개월 아기 여름이라 살이 걱정되어서 구매했는데얼굴색에 잘맞고 바를때 싫지 않은지 웃어주어서 너무 좋네요,긍정
적극추천해요 아기가 햇볕에 예민할것 같아 구매했어요크림이 너무 좋아서 구매 믿고 사용할 예정이에요적극추천해요 아기가 햇볕에 예민할것 같아 구매했어요크림이 너무 좋아서 구매 믿고 사용할 예정이에요,긍정
좋아요 자극적이지 않고 부드럽게 잘 닦이네요 아기가 ㄱ품형이라 거부감 들어하지않아요 좋습니다아좋아요 자극적이지 않고 부드럽게 잘 닦이네요 아기가 ㄱ품형이라 거부감 들어하지않아요 좋습니다아,긍정
만족합니다 후기보고 주문햇는데 작은양으로 골고루 펴발라야 백탁현상이 없네요유분끼가 많아서 바르고 나면 번들거리기는 하지만 자외선 차단이 잘된다고 하니해외여행갈때 가지고 가야겠어요만족합니다 후기보고 주문햇는데 작은양으로 골고루 펴발라야 백탁현상이 없네요유분끼가 많아서 바르고 나면 번들거리기는 하지만 자외선 차단이 잘된다고 하니해외여행갈때 가지고 가야겠어요잘쓸께요,긍정
데일리로 바르려고 아기썬크림구입 트러블이 많아서 독한거 못써요그냥 데일리로 짝꿍이랑 사용하려고구입했어요 짝꿍은 열심히 바르고 다니네요많이 바르면 하얗게되요 적당히 발라야 되겠어요데일리로 바르려고 아기썬크림구입 트러블이 많아서 독한거 못써요그냥 데일리로 짝꿍이랑 사용하려고구입했어요 짝꿍은 열심히 바르고 다니네요많이 바르면 하얗게되요 적당히 발라야 되겠어요,긍정
생각보다 크기는 작네요 그래도 민감성피부에 좋은제품 같습니다생각보다 크기는 작네요 그래도 민감성피부에 좋은제품 같습니다,부정
괌에가서 잘 쓰고 왔네요 타긴 했는데 그래도 만족이에요괌에가서 잘 쓰고 왔네요 타긴 했는데 그래도 만족이에요,긍정
좋아요 저렴하게잘샀고 폭풍검색으로 좋은성분으로 만들었다고해서샀어요 좋은거같아용 추천할께요여름걱정없어요좋아요 저렴하게잘샀고 폭풍검색으로 좋은성분으로 만들었다고해서샀어요 좋은거같아용 추천할께요여름걱정없어요,긍정
빨리 도착했어요 아기 첫 썬크림입니다 잘 쓸께요 빨리 도착했어요 아기 첫 썬크림입니다 잘 쓸께요 ,긍정
잘받았습니다 항상 구매하는 물건입니다 아기한테 사용하고 더불어 저도 같이 쓰고있네요 냄새는 별로입니다잘받았습니다 항상 구매하는 물건입니다 아기한테 사용하고 더불어 저도 같이 쓰고있네요 냄새는 별로입니다,부정
만족 만족 뜨거운 여름 우리아이 피부 보호해둘아이 아팜 쓰다가 6년만에 바꿔봤어요 핑부탈없이 잘보호 되네요만족 만족 뜨거운 여름 우리아이 피부 보호해둘아이 아팜 쓰다가 6년만에 바꿔봤어요 핑부탈없이 잘보호 되네요,긍정
두번째 구매예요 잘쓸게요두번째 구매예요 잘쓸게요,긍정
너무너무 잘쓰고 있어요!!  벌써 5통째!! 너무 좋아요!! 순하고 깔끔하고 배송도 빨라서 좋았습니다! 또 구매할게요너무너무 잘쓰고 있어요!!  벌써 5통째!! 너무 좋아요!! 순하고 깔끔하고 배송도 빨라서 좋았습니다! 또 구매할게요,긍정
응 아직 많이써보진않았지만 백탁현상없이 피부톤 그대로 유지 되는것 같습니다 안써봤어오ㅡ 사용자 모임 난 왜 이 시간에 안 좋은 사람으로 기억되고너무 좋다응 아직 많이써보진않았지만 백탁현상없이 피부톤 그대로 유지 되는것 같습니다 안써봤어오ㅡ 사용자 모임 난 왜 이 시간에 안 좋은 사람으로 기억되고너무 좋다,긍정
요즘햇빛많으니까 꼭챙기고있어요 만족합니다 부드럽게 잘발려요 물에도 잘 씻기구여 햇빛이 강해질수록 잘 챙겨발라야 할것 같아요요즘햇빛많으니까 꼭챙기고있어요 만족합니다 부드럽게 잘발려요 물에도 잘 씻기구여 햇빛이 강해질수록 잘 챙겨발라야 할것 같아요,긍정
품질도 배송도 만족품질도 배송도 만족,긍정
선물용으로 샀어요선물용으로 샀어요,긍정
배송 진짜 빨라요배송 진짜 빨라요,긍정
잘발리네여잘발리네여,긍정
만족합니당만족합니당,긍정
좀뻑뻑해요좀뻑뻑해요,부정
추천합니다 요즘 아기가 피부가 검게 타는 것 같아 구입했습니다 순하고 자극적이지 않아 좋은 것 같습니다추천합니다 요즘 아기가 피부가 검게 타는 것 같아 구입했습니다 순하고 자극적이지 않아 좋은 것 같습니다,긍정
썬크림 친언니가 쓴다길래 저도 주문해봤어요덕분에 이번여름 이 썬크림을 저랑 아기랑 잘 보내고 있는중이네요다만 좀 유분기가 좀있는거같기도하구 그거빼곤 가격도 저렴하고 좋아요썬크림 친언니가 쓴다길래 저도 주문해봤어요덕분에 이번여름 이 썬크림을 저랑 아기랑 잘 보내고 있는중이네요다만 좀 유분기가 좀있는거같기도하구 그거빼곤 가격도 저렴하고 좋아요,긍정
좋은 제품 좋은 가격 와이프의 민감피부를 위해 썬크림을 찾던 중 딱 맞는 제품을 구매했습니다가격도 좋고 제품도 좋습니다적극 추천합니당좋은 제품 좋은 가격 와이프의 민감피부를 위해 썬크림을 찾던 중 딱 맞는 제품을 구매했습니다가격도 좋고 제품도 좋습니다적극 추천합니당,긍정
음 일단 안정성있는 제품같아구매했습니다상품평이좋아서 믿음이 가더군요아기피부에 자극없는것같고발림성좋고번들거리지않아괜찮은것같아요잘쓸께용음 일단 안정성있는 제품같아구매했습니다상품평이좋아서 믿음이 가더군요아기피부에 자극없는것같고발림성좋고번들거리지않아괜찮은것같아요잘쓸께용,긍정
잘쓰고 있어여 아직 조은지는 잘모 르ㅔㅆ구여 신랑이 급하게 써봤는데 잘안지워 진다고 하던데여금방 스며드는거 같진않아여잘쓰고 있어여 아직 조은지는 잘모 르ㅔㅆ구여 신랑이 급하게 써봤는데 잘안지워 진다고 하던데여금방 스며드는거 같진않아여,긍정
발림성 좋아요 받자마자 뜯어서 발라봤는데 발림 좋고 하얗게 뜨지 않아서 괜찮네요 아이가 까만편이라 걱정했거든요 아이랑 같이 쓰려고 주문했어요발림성 좋아요 받자마자 뜯어서 발라봤는데 발림 좋고 하얗게 뜨지 않아서 괜찮네요 아이가 까만편이라 걱정했거든요 아이랑 같이 쓰려고 주문했어요,긍정
잘 쓰겠습니다 좋아 보이네요 감사합니다 잘 쓰겠습니다 좋아 보이네요 감사합니다 ,긍정
최고 성분도 좋으면서 백탁현상이 심하지 않아서아기 선블록은 이걸로 쭉 정착했어요작년여름에도 잘썼고 재구매햤어요최고 성분도 좋으면서 백탁현상이 심하지 않아서아기 선블록은 이걸로 쭉 정착했어요작년여름에도 잘썼고 재구매햤어요,긍정
온가족이 사용 중 다함께 사용하고있어요 약간 백탁현상이 있지만 금방 괜찮아지네요 바르면 촉촉한 느낌이어서 좋아요온가족이 사용 중 다함께 사용하고있어요 약간 백탁현상이 있지만 금방 괜찮아지네요 바르면 촉촉한 느낌이어서 좋아요,긍정
별로 우리아기한테는 안 맞나봐요바로 얼굴에 뭐 올라와서 병원갔네요좋다는데  조카 주려구요별로 우리아기한테는 안 맞나봐요바로 얼굴에 뭐 올라와서 병원갔네요좋다는데  조카 주려구요,부정
괜찮네요ㅎ 썬크림이필요할꺼같아검색해보니 마니쓰는거같아 샀어요발림도좋고괜찮아요 계속바르고나가는걸잊어먹어서ㅠ열심히발라줘야겟어요ㅎ괜찮네요ㅎ 썬크림이필요할꺼같아검색해보니 마니쓰는거같아 샀어요발림도좋고괜찮아요 계속바르고나가는걸잊어먹어서ㅠ열심히발라줘야겟어요ㅎ,긍정
성분이 좋아서 작년에 이어 두번째 구매했어요 성분도 착하고 가격도 좋고 트러블도 없네요쿠션케이스 사서 두아이에게 만들어 줬어요성분이 좋아서 작년에 이어 두번째 구매했어요 성분도 착하고 가격도 좋고 트러블도 없네요쿠션케이스 사서 두아이에게 만들어 줬어요,긍정
적 극 추 천 완 전 추 천 이 요넘 좋 아 요아 이 나 어 른 이 나 상 관 없 이 써 두 되 요적 극 추 천 완 전 추 천 이 요넘 좋 아 요아 이 나 어 른 이 나 상 관 없 이 써 두 되 요,긍정
백탁이 있지만 나름 화사해보여서 괜찮아요 ㅋ 물로 씻긴다니 안심하고 사용합니다백탁이 있지만 나름 화사해보여서 괜찮아요 ㅋ 물로 씻긴다니 안심하고 사용합니다,긍정
좋아용 꾸덕꾸덕한 느낌이예요 잘못 바르면 백탁현상 있어요 애기랑 자주 부닫혀 저도 같이 사용중이네요ㅠ좋아용 꾸덕꾸덕한 느낌이예요 잘못 바르면 백탁현상 있어요 애기랑 자주 부닫혀 저도 같이 사용중이네요ㅠ,부정
좋아오ㅡ 백탁현상 이 조금 있지만조금있으면 괜찮인지는듯순하다고 해서 샀어요잘쓸께요 고맙습니다좋아오ㅡ 백탁현상 이 조금 있지만조금있으면 괜찮인지는듯순하다고 해서 샀어요잘쓸께요 고맙습니다,긍정
아토보스 선크림 추천해요  아이 선크림 검색하다가 선크림에 유해성분없고 사용후기도 좋아서 구매했어요 아직 많이 사용하진 않았지만 발림성 좋고 세안이 잘되서 맘에 듭니다 추천아토보스 선크림 추천해요  아이 선크림 검색하다가 선크림에 유해성분없고 사용후기도 좋아서 구매했어요 아직 많이 사용하진 않았지만 발림성 좋고 세안이 잘되서 맘에 듭니다 추천해요,긍정
좋아요 햇빛이 강하고 자외선지수가 넘 높아 아이들 피부가 걱정되어 구매했어요 바를 때 약간 백탁현상이 생기긴하지만 잘 문질러주면 괜찮습니다 약간 반짝이는 정도?ㅋ 성분도 좋고 좋아요 햇빛이 강하고 자외선지수가 넘 높아 아이들 피부가 걱정되어 구매했어요 바를 때 약간 백탁현상이 생기긴하지만 잘 문질러주면 괜찮습니다 약간 반짝이는 정도?ㅋ 성분도 좋고 효과도 좋길 기대해봐요,긍정
아기썬크림 7개월 아긴데 썬크림 발라줘야 된다해서 구입했어요 아직 써보진 않았지만 소문 듣고 와서 구입했는데 좋으면 재구입 할게요 번창하세요아기썬크림 7개월 아긴데 썬크림 발라줘야 된다해서 구입했어요 아직 써보진 않았지만 소문 듣고 와서 구입했는데 좋으면 재구입 할게요 번창하세요,긍정
깔끔히 포장해서 도착했네요 아직 사용해 보진 않았지만 포장도 꼼꼼히 해서 빨리 보내주셔서이번 휴가때 잘 사용할께요 깔끔히 포장해서 도착했네요 아직 사용해 보진 않았지만 포장도 꼼꼼히 해서 빨리 보내주셔서이번 휴가때 잘 사용할께요 ,긍정
괜찮아요 급하게 구매했는데만족합니다괜찮아요 급하게 구매했는데만족합니다,긍정
기존에도 잘 사용하고 있어서 추가 구매했어요 기존에는 뚜껑이 파란색으로 로션에 파란색이 묻어나서 좀 찜찜했는데흰색으로 바뀌었네요 만족합니다 기존에도 잘 사용하고 있어서 추가 구매했어요 기존에는 뚜껑이 파란색으로 로션에 파란색이 묻어나서 좀 찜찜했는데흰색으로 바뀌었네요 만족합니다 ,긍정
발림성이 좋네요 백탁현상이 좀 있다해서 걱정했는데 아기 피부에 발라보니 요정도는 괜찮은듯?매끈하게 잘 발리구요 톡톡 두드려서 흡수시켜주니까 보송보송 끈적임이 없어서 좋아요!발림성이 좋네요 백탁현상이 좀 있다해서 걱정했는데 아기 피부에 발라보니 요정도는 괜찮은듯?매끈하게 잘 발리구요 톡톡 두드려서 흡수시켜주니까 보송보송 끈적임이 없어서 좋아요!,긍정
안심할수있는 성분이라서 구매했어요향도 좋고 발림성도 이정도면 괜찮네요백탁현상이 있긴한데 시간지나면 자연스러워져서 사용하는데 불편함은 없어요여러가지로 만족합니다안심할수있는 성분이라서 구매했어요향도 좋고 발림성도 이정도면 괜찮네요백탁현상이 있긴한데 시간지나면 자연스러워져서 사용하는데 불편함은 없어요여러가지로 만족합니다,긍정
썬크림 좋습니다 써보세요썬크림 좋습니다 써보세요,긍정
저렴한 가격이잘샀어요 저렴한 가격이잘샀어요 ,긍정
아주좋아요 신생아때부터쭉아토보스8살 아들도 아토보스 선크림완전부담 없어요맘편히 아이들에게아주좋아요 신생아때부터쭉아토보스8살 아들도 아토보스 선크림완전부담 없어요맘편히 아이들에게,긍정
유아 썬크림 좋습니다 여름을 맞이 하여계곡이나 바다가서 수영 하려고 샀습니다잘 발라지고차단도 잘되는것 같습니다한번 발라 보세요 ㅋ유아 썬크림 좋습니다 여름을 맞이 하여계곡이나 바다가서 수영 하려고 샀습니다잘 발라지고차단도 잘되는것 같습니다한번 발라 보세요 ㅋ,긍정
너무깔끔하고 좋아요   산뜻하고 아이도 끈적임이 많이 없으니 좋아하네요감사합니다너무깔끔하고 좋아요   산뜻하고 아이도 끈적임이 많이 없으니 좋아하네요감사합니다,긍정
보통입니다보통입니다,부정
좋아여 요즘 같은 날씨에 매일 매일 외출시 자외선에 안전하리라는 믿음으로 바르고 댕깁니다25개월 남아에게 바르기 안전한 제품을 찾다가 구입했는데 발림도 좋고 잘 쓰고 있습니다다좋아여 요즘 같은 날씨에 매일 매일 외출시 자외선에 안전하리라는 믿음으로 바르고 댕깁니다25개월 남아에게 바르기 안전한 제품을 찾다가 구입했는데 발림도 좋고 잘 쓰고 있습니다다 사용하면 또 구입하러 올께요,긍정
아기 썬크림은 아토보스 추천 6개월이 다 되어가는 아가를 위해 썬크림 찾던중 천연 썬크림으로 유명한 아토보스를 구매! 가격도 적당하고 기대됩니다아기 썬크림은 아토보스 추천 6개월이 다 되어가는 아가를 위해 썬크림 찾던중 천연 썬크림으로 유명한 아토보스를 구매! 가격도 적당하고 기대됩니다,긍정
썬크림은 처음 구입해보는데 항상 믿고 쓰던 아토보스 크림이라 믿고 샀습니다썬크림은 처음 구입해보는데 항상 믿고 쓰던 아토보스 크림이라 믿고 샀습니다,긍정
괜찮아요 휴가 때 아기가  사용할 썬크림 찾다가 평도 좋고 구매량이 많아서 믿고 샀습니다 아직 사용전이지만 좋은거 같아요 화장품 유해 어플에서 검색해보니 안 좋은 물질도 없네요괜찮아요 휴가 때 아기가  사용할 썬크림 찾다가 평도 좋고 구매량이 많아서 믿고 샀습니다 아직 사용전이지만 좋은거 같아요 화장품 유해 어플에서 검색해보니 안 좋은 물질도 없네요,긍정
좋아요 자외선 차단 된다니 믿고 구매했지만 그건 눈에보이지 않아서 모르겠고 일단 끈적임은 덜하고 아이 피부에 트러블도 안나고 괜찮은것 같아요좋아요 자외선 차단 된다니 믿고 구매했지만 그건 눈에보이지 않아서 모르겠고 일단 끈적임은 덜하고 아이 피부에 트러블도 안나고 괜찮은것 같아요,긍정
